PoiID,FirstLevel,SecondLeve,ZoneID
1591,16,52,99
1592,7,157,99
1593,20,177,99
1594,13,154,99
1595,7,137,99
1596,19,174,99
1597,0,146,184
1598,13,172,184
1599,7,157,184
1600,3,24,184
1601,4,19,184
1602,12,131,184
1603,13,172,184
1604,16,52,184
1605,13,4,184
1606,16,52,184
1607,0,144,109
1608,16,52,109
1609,6,13,109
1610,16,163,109
1611,5,43,109
1612,7,86,109
1613,12,131,109
1614,13,156,109
1615,0,145,109
1616,12,55,109
1617,6,13,114
1618,16,162,114
1619,16,52,114
1620,13,156,114
1621,10,99,114
1622,5,14,114
1623,12,170,114
1624,3,24,114
1625,12,131,114
1626,13,49,114
1627,9,147,173
1628,12,131,173
1629,8,56,173
1630,16,52,173
1631,5,155,173
1632,20,81,173
1633,0,146,173
1634,1,18,173
1635,13,4,173
1636,8,65,173
1637,12,131,171
1638,13,49,171
1639,13,172,171
1640,19,98,171
1641,13,49,171
1642,13,57,171
1643,16,52,171
1644,2,119,171
1645,1,164,171
1646,4,19,171
1647,20,177,91
1648,7,85,91
